,Station_Name,Owner,Latitude,Longitude,Wind Dir.,Wind speed,Wave Height,Dom Wave Period,Ave Wave Period,Wave Dir.,Sea Level Pressure,Air Temp.,Sea Surface Temp.,Dewpoint Temp.,Station Visib.,Water Level,Energy Flux,Wave Height Cat,Wave Period Cat
38,46243,Shell Oil Stations,46.216,-124.128,,,1.788774578,11.675,-,260.32,,,12.243,,,,11546.43092,Very Tall,Very Long
39,41108,Shell Oil Stations,33.721,-78.015,,,0.975026651,7.23,4.580396871,153.292,,,20.857,,,,2132.160457,Average Height,Average
40,46060,Shell Oil Stations,60.584,-146.784,171.4914799,5.168627904,0.660286709,8.502,4.891124782,180.901,1010.536,7.951,9.732,,,,1044.137408,Average Height,Average
41,51101,Shell Oil Stations,24.321,-162.058,108.8900348,6.271583627,2.298089549,10.974,7.195154854,172.366,1017.634,24.489,23.637,21.576,,,18606.20675,Very Tall,Very Long
42,41159,Shell Oil Stations,34.21,-76.948,,,1.309308804,7.582,5.174242934,142.376,,,22.436,,,,4343.24965,Tall,Long
43,51000,Shell Oil Stations,23.546,-154.056,105.4424872,6.540746734,2.288121604,10.759,7.167018842,172.443,1016.826,24.128,25.321,,,,18373.02016,Very Tall,Very Long
44,46001,Shell Oil Stations,56.304,-147.92,214.1400695,7.996560069,2.87392184,10.514,6.983492997,221.67,1008.237,8.109,9.146,,,,28242.71277,Very Tall,Long
45,46041,Shell Oil Stations,47.349,-124.704,210.1540428,5.134229432,2.050257242,11.423,7.255090382,272,1016.965,11.344,12.42,,,,14932.87185,Very Tall,Very Long
46,42098,Shell Oil Stations,27.589,-82.931,,,0.665816022,4.665,3.535319365,216.37,,,25.267,,,,767.3984846,Average Height,Average
47,42055,Shell Oil Stations,22.203,-94,109.5429233,6.161906325,1.273329076,6.408,4.844343939,100.586,1013.714,25.082,27.602,21.532,,,3845.91856,Tall,Average
48,46006,Shell Oil Stations,40.754,-137.464,209.6273519,6.723522504,2.530819634,11.559,7.203389674,249.357,1019.878,14.969,16.084,12.776,,,22591.39769,Very Tall,Very Long
49,51201,Shell Oil Stations,21.673,-158.116,,,1.66443394,11.017,7.050267667,207.323,,,24.321,,,,9563.624885,Very Tall,Very Long
50,46219,Shell Oil Stations,33.221,-119.882,,,2.052559127,12.476,7.653434809,275.582,,,15.647,,,,15788.16083,Very Tall,Very Long
51,46259,Shell Oil Stations,34.732,-121.664,,,2.202932858,11.937,7.767908607,284.057,,,15.013,,,,18458.24604,Very Tall,Very Long
52,46114,Shell Oil Stations,36.71,-122.342,,,2.16257082,12.106,7.788056065,279.011,,,14.039,,,,17834.19654,Very Tall,Very Long
53,41013,Shell Oil Stations,33.436,-77.743,169.3877256,6.660459921,1.325259311,7.53,5.11219515,136.99,1017.715,21.399,23.816,16.856,,,4396.357026,Tall,Long
54,46248,Shell Oil Stations,46.133,-124.667,,,2.142355627,11.703,7.601691021,272.822,,,13.247,,,,17083.5115,Very Tall,Very Long
55,41114,Shell Oil Stations,27.551,-80.225,,,0.962741875,8.552,4.935053959,76.954,,,25.724,,,,2239.728784,Average Height,Average
